Country,sex,age,data,start_year,end_year,rsq,period
Canada,female,96,"<df[,2]>",1975,1990,0.4046240064588991,1975-1990
Canada,female,96,"<df[,2]>",1975,2018,0.2851361985422034,1975 onwards
Canada,female,96,"<df[,2]>",1991,2018,0.5260223109959448,1991 onwards
Canada,female,97,"<df[,2]>",1975,1990,0.32854381141478844,1975-1990
Canada,female,97,"<df[,2]>",1975,2018,0.12762985527779025,1975 onwards
Canada,female,97,"<df[,2]>",1991,2018,0.3986411404858685,1991 onwards
Canada,female,98,"<df[,2]>",1975,1990,0.23484363615030077,1975-1990
Canada,female,98,"<df[,2]>",1975,2018,0.022647003602519547,1975 onwards
Canada,female,98,"<df[,2]>",1991,2018,0.3798680277302167,1991 onwards
Canada,female,99,"<df[,2]>",1975,1990,0.1986808609620628,1975-1990
Canada,female,99,"<df[,2]>",1975,2018,0.17100382748029777,1975 onwards
Canada,female,99,"<df[,2]>",1991,2018,0.3107417389297142,1991 onwards
Canada,female,100,"<df[,2]>",1975,1990,0.08033578186200407,1975-1990
Canada,female,100,"<df[,2]>",1975,2018,0.11468535515853799,1975 onwards
Canada,female,100,"<df[,2]>",1991,2018,0.09980522028919392,1991 onwards
Canada,female,101,"<df[,2]>",1975,1990,0.007540152594575206,1975-1990
Canada,female,101,"<df[,2]>",1975,2018,0.03406463081374135,1975 onwards
Canada,female,101,"<df[,2]>",1991,2018,0.10040456934927076,1991 onwards
Canada,female,102,"<df[,2]>",1975,1990,0.029395275997111486,1975-1990
Canada,female,102,"<df[,2]>",1975,2018,0.010198796671978408,1975 onwards
Canada,female,102,"<df[,2]>",1991,2018,0.18462524422814885,1991 onwards
Canada,female,103,"<df[,2]>",1975,1990,0.008936014805988973,1975-1990
Canada,female,103,"<df[,2]>",1975,2018,0.051513724739776834,1975 onwards
Canada,female,103,"<df[,2]>",1991,2018,2.3702053137840303e-4,1991 onwards
Canada,female,104,"<df[,2]>",1975,1990,0.0011889003541522927,1975-1990
Canada,female,104,"<df[,2]>",1975,2018,0.01519302698874965,1975 onwards
Canada,female,104,"<df[,2]>",1991,2018,0.12859809178469822,1991 onwards
Canada,female,105,"<df[,2]>",1975,1990,0.03826022307568587,1975-1990
Canada,female,105,"<df[,2]>",1975,2018,0.04907980043995804,1975 onwards
Canada,female,105,"<df[,2]>",1991,2018,0.10243105903140594,1991 onwards
Canada,female,106,"<df[,2]>",1975,1990,0.005893650227165856,1975-1990
Canada,female,106,"<df[,2]>",1975,2018,0.03248567033335286,1975 onwards
Canada,female,106,"<df[,2]>",1991,2018,0.002720216979681262,1991 onwards
Canada,female,107,"<df[,2]>",1975,1990,NA,1975-1990
Canada,female,107,"<df[,2]>",1975,2018,NA,1975 onwards
Canada,female,107,"<df[,2]>",1991,2018,0.050353736825684975,1991 onwards
Canada,female,108,"<df[,2]>",1975,1990,NA,1975-1990
Canada,female,108,"<df[,2]>",1975,2018,NA,1975 onwards
Canada,female,108,"<df[,2]>",1991,2018,0.013991857792521885,1991 onwards
Canada,female,109,"<df[,2]>",1975,1990,NA,1975-1990
Canada,female,109,"<df[,2]>",1975,2018,NA,1975 onwards
Canada,female,109,"<df[,2]>",1991,2018,0.03367181989911288,1991 onwards
Canada,female,110,"<df[,2]>",1975,1990,NA,1975-1990
